representative,transaction_date,ticker,asset_description,amount,type
Hon. Michael T. McCaul,2020-11-17,CVS,CVS HEALTH CORP,"$50,001 - $100,000",sale_full
Hon. Michael T. McCaul,2020-11-02,KR,KROGER CO,"$50,001 - $100,000",sale_full
Hon. Michael T. McCaul,2020-11-03,--,LEWIS 7 CLARK AGRIFOOD FUND 2,"$50,001 - $100,000",purchase
Hon. Michael T. McCaul,2020-11-22,--,LEWIS & CLARK AGRIFOOD FUND 2,"$50,001 - $100,000",purchase
Hon. Josh Gottheimer,2022-01-28,ABBV,AbbVie Inc,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2022-01-31,AMD,Advanced Micro Devices Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2022-01-26,AMD,Advanced Micro Devices Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2022-01-31,ALGN,Align Technology Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2022-01-26,ASML,ASML Holding NV New York Registry Shares,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2022-01-10,BIIB,Biogen Inc,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2022-01-31,BOOT,Boot Barn Holdings Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2022-01-10,COF,Capital One Financial Corporation,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2022-01-31,KO,Coca-Cola Company,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2022-01-26,EL,Estee Lauder Companies Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2022-01-25,FIS,Fidelity National Information Services,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2022-01-26,FIS,Fidelity National Information Services,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2022-01-26,BEN,Franklin Resources Inc,"$1,001 - $15,000",sale_full
Hon. Josh Gottheimer,2022-01-15,BEN,Franklin Resources Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2022-01-28,FCX,Freeport-McMoRan Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2022-01-10,HQY,HealthEquity Inc,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2022-01-26,ISRG,Intuitive Surgical Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2022-01-26,LRCX,Lam Research Corporation,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2022-01-26,LRCX,Lam Research Corporation,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2022-01-18,MTCH,Match Group Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2022-01-25,MSFT,Microsoft Corporation - Call Options $145 strike Expire 09/16/2022,"$50,001 - $100,000",purchase
Hon. Josh Gottheimer,2022-01-28,NFLX,Netflix Inc,"$1,001 - $15,000",sale_partial
