disclosure_year,disclosure_date,transaction_date,owner,ticker,asset_description,type,amount,representative,district,ptr_link,cap_gains_over_200_usd,date_x,trans_price,date_y,current_price
2021,03/10/2021,2021-02-12,joint,MSFT,Microsoft Corporation,purchase,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-12,241.88880920410156,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-12,joint,MSFT,Microsoft Corporation,purchase,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-12,241.88880920410156,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-12,joint,MSFT,Microsoft Corporation,purchase,"$250,001 - $500,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-12,241.88880920410156,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-12,joint,MSFT,Microsoft Corporation,sale_partial,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-12,241.88880920410156,2022-06-09,270.4100036621094
2021,12/13/2021,2021-11-15,joint,MSFT,"Microsoft Corporation - Call option, strike of $150 expires 3/18/2022",purchase,"$5,000,001 - $25,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019961.pdf,False,2021-11-15,333.9862060546875,2022-06-09,270.4100036621094
2021,12/13/2021,2021-11-15,joint,MSFT,"Microsoft Corporation - Call option, strike of $145 expires 3/18/2022",purchase,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019961.pdf,False,2021-11-15,333.9862060546875,2022-06-09,270.4100036621094
2021,12/13/2021,2021-11-15,joint,MSFT,"Microsoft Corporation - Call option, strike of $160 expires 1/21/2022",purchase,"$500,001 - $1,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019961.pdf,False,2021-11-15,333.9862060546875,2022-06-09,270.4100036621094
2021,12/13/2021,2021-11-15,joint,MSFT,"Microsoft Corporation - Call option, strike of $160 expires 9/16/2022",sale_full,"$500,001 - $1,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019961.pdf,False,2021-11-15,333.9862060546875,2022-06-09,270.4100036621094
2021,12/13/2021,2021-11-15,joint,MSFT,"Microsoft Corporation - Call option, strike of $150 expires 9/216/2022",sale_full,"$5,000,001 - $25,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019961.pdf,False,2021-11-15,333.9862060546875,2022-06-09,270.4100036621094
2020,03/16/2020,2020-02-13,joint,MSFT,Microsoft Corporation,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-13,179.48313903808594,2022-06-09,270.4100036621094
2020,03/16/2020,2020-02-13,joint,MSFT,Microsoft Corporation,purchase,"$100,001 - $250,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-13,179.48313903808594,2022-06-09,270.4100036621094
2020,03/16/2020,2020-02-13,joint,MSFT,Microsoft Corporation,purchase,"$250,001 - $500,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-13,179.48313903808594,2022-06-09,270.4100036621094
2020,03/16/2020,2020-02-13,joint,MSFT,Microsoft Corporation,sale_full,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-13,179.48313903808594,2022-06-09,270.4100036621094
2020,03/16/2020,2020-02-13,joint,MSFT,Microsoft Corporation,sale_full,"$250,001 - $500,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-13,179.48313903808594,2022-06-09,270.4100036621094
2020,03/16/2020,2020-02-13,joint,MSFT,Microsoft Corporation,sale_full,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-13,179.48313903808594,2022-06-09,270.4100036621094
2020,03/16/2020,2020-02-13,joint,MSFT,Microsoft Corporation,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-13,179.48313903808594,2022-06-09,270.4100036621094
2020,03/16/2020,2020-02-13,joint,MSFT,Microsoft Corporation,purchase,"$250,001 - $500,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-13,179.48313903808594,2022-06-09,270.4100036621094
2020,03/16/2020,2020-02-13,joint,MSFT,Microsoft Corporation,sale_full,"$100,001 - $250,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-13,179.48313903808594,2022-06-09,270.4100036621094
2020,03/16/2020,2020-02-13,joint,MSFT,Microsoft Corporation,sale_full,"$100,001 - $250,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-13,179.48313903808594,2022-06-09,270.4100036621094
2020,03/16/2020,2020-02-13,joint,MSFT,Microsoft Corporation,sale_full,"$100,001 - $250,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-13,179.48313903808594,2022-06-09,270.4100036621094
2020,03/16/2020,2020-02-13,joint,MSFT,Microsoft Corporation,sale_full,"$250,001 - $500,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-13,179.48313903808594,2022-06-09,270.4100036621094
2020,03/16/2020,2020-02-13,joint,MSFT,Microsoft Corporation,purchase,"$100,001 - $250,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-13,179.48313903808594,2022-06-09,270.4100036621094
2020,03/16/2020,2020-02-13,joint,MSFT,Microsoft Corporation,purchase,"$100,001 - $250,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-13,179.48313903808594,2022-06-09,270.4100036621094
2020,03/16/2020,2020-02-13,joint,MSFT,Microsoft Corporation,purchase,"$250,001 - $500,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-13,179.48313903808594,2022-06-09,270.4100036621094
2020,03/16/2020,2020-02-13,joint,MSFT,Microsoft Corporation,purchase,"$100,001 - $250,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-13,179.48313903808594,2022-06-09,270.4100036621094
2020,03/16/2020,2020-02-13,joint,MSFT,Microsoft Corporation,sale_full,"$100,001 - $250,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-13,179.48313903808594,2022-06-09,270.4100036621094
